Bethune Park, 1301 10th Ave. N  
Bohanon Park, 4917 Bryant Ave. N  
Bryn Mawr Park, 601 Morgan Ave. S 
Cleveland Park, 3232 Queen Ave. N 
Creekview Park, 5001 Humboldt Ave. N  
Folwell Park, 1615 Dowling Ave. N 
Hall Park, 1524 Aldrich Ave. N 
Harrison Park, 503 Irving Ave. N 
James I. Rice Parkway, Plymouth Ave. N and West River Parkway  
Lovell Square Park, 1000 James Ave. N 
North Commons Park, 1801 James Ave. N 
North Commons Water Park, 1701 Golden Valley Rd.  
North Mississippi Park, 5114 North Mississippi Dr.  
Perkins Hill Park, 300 34th Ave. N 
Theodore Wirth Lake Beach, 3200 Glenwood Ave. N  
Theodore Wirth Park, 1339 Theodore Wirth Pkwy. 
Valley View Park, 26th Ave. N and N Theodore Wirth Pkwy.  
Victory Park, 4414 Upton Ave. N 
Victory Prairie Dog Park, 4701 Russell Ave. N 
Webber Park, 4400 Dupont Ave. N  
Webber Pool, 4300 Webber Pkwy. N 
Willard Park, 1626 Queen Ave North  
